id,rid,qid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,s1,s2
1,BCS-FA17-051,v2,A,B,B,A,C,B,B,D,B,B,B,B,C,A,B,C,A,,,,,,,,,,,,,,3,4
2,BCS-FA17-058,v2+3,C,D,B,A,C,A,B,A,B,E,C,C,B,D,A,D,B,C,E,D,B,A,C,A,E,A,A,D,,,4,3
3,BCS-FA17-078,v2+3,C,,A,E,E,B,B,B,B,A,A,B,D,D,C,C,A,E,D,D,D,A,D,A,D,A,C,E,D,C,1,2
4,BCS-FA17-098,v2,C,D,A,A,C,C,B,D,B,A,E,C,B,A,C,C,A,B,C,D,A,B,,,,,,,,,2,2
5,BCS-FA17-072,v3,C,B,A,A,D,B,C,B,,B,C,B,C,A,C,E,D,E,C,E,C,B,B,B,E,D,B,C,B,D,2,2
6,BCS-FA17-090,v3+2,C,D,B,A,C,C,B,D,C,C,B,A,C,D,C,C,A,D,E,D,E,,B,A,D,B,B,D,B,E,3,3
7,BCS-FA17-089,v2,C,A,B,A,C,B,B,A,B,D,C,B,C,D,C,C,A,D,E,D,E,D,B,A,D,B,A,D,B,E,3,3
8,BCS-SP17-089,v2+3,C,A,A,A,D,A,B,E,D,A,E,B,D,D,C,A,A,D,D,B,E,A,C,C,D,A,C,D,B,E,1,1
9,BCS-SP17-080,v3+2,C,A,C,,E,B,B,A,C,C,C,C,C,D,A,A,D,E,D,D,A,B,A,A,E,A,A,B,B,C,2,3
10,BCS-FA17-055,v3,A,A,A,D,C,B,B,B,E,A,C,C,C,A,C,A,A,E,E,C,D,D,A,A,B,B,A,E,B,C,4,3
11,BCS-FA17-057,v2,A,D,D,A,C,B,E,E,E,D,B,B,C,A,C,D,D,E,A,E,B,A,C,A,D,A,A,D,B,E,2,3
12,BCS-FA17-053,v2+3,A,C,B,C,D,A,B,E,D,C,B,C,B,B,B,A,B,D,E,D,C,B,A,A,D,A,A,C,B,B,5,5
13,BCS-FA17-076,v3+2,C,,B,A,C,B,B,B,E,D,C,B,B,C,C,A,A,D,E,C,C,B,A,C,D,D,C,,,,2,3
14,BCS-FA17-079,v3,C,B,C,E,C,B,B,E,C,D,C,B,A,D,C,C,A,C,D,A,E,D,A,A,E,B,E,E,B,D,2,2
15,BCS-FA17-095,v2,D,E,E,D,C,A,D,E,C,D,C,C,C,D,C,A,A,E,C,E,A,D,A,B,B,C,D,B,C,E,3,5
16,BCS-FA17-103,v2+3,B,C,C,A,C,B,B,B,C,A,C,B,B,D,C,A,B,C,D,C,C,A,B,A,E,D,C,E,B,E,4,3
17,BCS-FA17-091,v3+2,C,B,B,A,D,A,B,E,D,D,B,C,C,A,B,B,A,D,E,C,A,B,C,,,,,,,,4,2
18,BCS-FA17-065,v3,C,A,C,E,B,B,B,B,E,A,D,B,D,C,C,A,A,E,E,D,C,B,B,A,D,E,C,E,D,C,1,1
19,BCS-FA17-096,v2,C,D,C,A,D,B,B,A,B,A,C,C,C,A,A,C,A,C,C,A,D,B,B,A,D,B,A,C,A,A,3,3
20,BCS-FA17-081,v3+2,C,A,C,E,D,A,D,B,E,D,C,B,C,D,C,A,A,D,D,A,B,D,A,A,A,A,A,A,A,A,1,1
21,BCS-FA17-056,v3+2,C,D,C,E,E,B,B,B,C,D,C,C,C,B,C,D,A,C,E,E,C,B,B,A,E,A,C,D,A,E,3,2
22,BCS-FA17-066,v3,C,A,C,D,C,B,B,B,E,D,B,B,C,B,D,D,A,C,E,E,B,B,D,A,E,A,C,D,A,E,2,3
23,BCS-FA17-101,v2,C,D,E,A,C,B,B,B,D,A,E,C,B,A,C,A,A,C,D,A,A,C,C,E,B,,,C,B,E,4,3
24,BCS-FA17-060,v2+3,C,E,,D,,,,E,E,D,B,C,C,D,,,D,E,E,C,A,A,C,A,E,A,A,D,E,,4,4
